Logid,Userid,CheckTime,CheckType,Sensorid
374941,507,2024-11-29 07:33:47,0,2
374942,37,2024-11-29 16:37:36,0,2
374943,37,2024-11-29 16:37:52,0,2
374944,507,2024-11-29 16:38:32,5,2
374945,312,2024-11-29 16:46:32,5,2
374946,565,2024-11-29 16:48:01,5,2
374947,546,2024-11-29 16:48:49,5,2
374948,580,2024-11-29 16:53:48,5,2
374949,777,2024-11-29 17:09:45,5,2
374950,442,2024-11-29 17:21:08,5,2
374951,633,2024-11-29 17:22:00,5,2
374952,193,2024-11-29 17:22:11,5,2
374953,301,2024-11-29 17:22:21,5,2
374954,312,2024-11-30 07:10:12,0,2
374955,301,2024-11-30 07:10:23,0,2
374956,507,2024-11-30 07:10:28,0,2
374957,633,2024-11-30 07:10:44,0,2
374958,193,2024-11-30 07:10:48,0,2
374959,546,2024-11-30 07:10:53,0,2
374960,565,2024-11-30 07:10:57,0,2
374961,442,2024-11-30 07:11:00,0,2
374962,785,2024-11-30 07:11:05,0,2
374963,580,2024-11-30 07:11:20,0,2
374964,777,2024-11-30 07:11:51,0,2
374965,552,2024-11-29 14:58:20,5,3
374966,481,2024-11-29 17:06:59,5,3
374967,444,2024-11-29 17:20:59,5,3
374968,574,2024-11-29 17:22:49,5,3
374969,345,2024-11-30 06:45:28,0,3
374970,614,2024-11-29 07:31:20,0,4
374971,612,2024-11-29 07:38:17,0,4
374972,599,2024-11-29 07:38:29,0,4
374973,528,2024-11-29 07:40:33,0,4
374974,621,2024-11-29 07:41:39,0,4
374975,644,2024-11-29 07:45:13,0,4
374976,518,2024-11-29 07:50:46,0,4
374977,589,2024-11-29 07:50:50,0,4
374978,781,2024-11-29 07:59:34,0,4
374979,610,2024-11-29 08:00:50,0,4
374980,365,2024-11-29 08:03:57,0,4
374981,518,2024-11-29 08:04:15,0,4
374982,590,2024-11-29 08:07:15,0,4
374983,640,2024-11-29 08:42:40,0,4
374984,623,2024-11-29 08:42:56,0,4
374985,780,2024-11-29 09:55:13,0,4
374986,624,2024-11-29 10:57:22,0,4
374987,621,2024-11-29 12:02:38,5,4
374988,612,2024-11-29 12:14:27,4,4
374989,610,2024-11-29 12:14:39,4,4
374990,659,2024-11-29 12:14:43,4,4
374991,365,2024-11-29 12:14:51,4,4
374992,518,2024-11-29 12:14:57,4,4
374993,640,2024-11-29 12:15:15,3,4
374994,634,2024-11-29 12:45:37,0,4
374995,614,2024-11-29 12:57:20,3,4
374996,784,2024-11-29 13:00:05,0,4
374997,623,2024-11-29 13:05:36,3,4
374998,640,2024-11-29 13:15:14,4,4
374999,528,2024-11-29 13:16:45,3,4
375000,611,2024-11-29 13:17:32,0,4
375001,610,2024-11-29 13:20:52,0,4
375002,610,2024-11-29 13:21:01,3,4
375003,365,2024-11-29 13:21:07,3,4
375004,612,2024-11-29 13:21:10,3,4
375005,518,2024-11-29 13:21:15,3,4
375006,659,2024-11-29 13:21:34,3,4
375007,618,2024-11-29 13:22:23,3,4
375008,631,2024-11-29 13:33:43,0,4
375009,614,2024-11-29 13:50:47,4,4
375010,634,2024-11-29 13:55:01,0,4
375011,623,2024-11-29 13:59:10,4,4
375012,605,2024-11-29 13:59:24,0,4
375013,621,2024-11-29 14:04:46,0,4
375014,528,2024-11-29 14:13:25,4,4
375015,618,2024-11-29 14:17:27,4,4
375016,464,2024-11-29 14:26:11,0,4
375017,592,2024-11-29 15:00:45,4,4
375018,618,2024-11-29 16:54:04,5,4
375019,589,2024-11-29 17:29:55,5,4
375020,528,2024-11-29 17:59:52,5,4
375021,612,2024-11-29 18:02:24,5,4
375022,644,2024-11-29 18:31:22,5,4
375023,590,2024-11-29 18:36:46,5,4
375024,599,2024-11-29 18:38:51,5,4
375025,640,2024-11-29 19:01:01,5,4
375026,610,2024-11-29 19:16:50,5,4
375027,621,2024-11-29 19:18:26,5,4
375028,365,2024-11-29 19:28:33,5,4
375029,623,2024-11-29 19:38:38,5,4
375030,624,2024-11-29 20:01:56,5,4
375031,659,2024-11-29 20:02:48,5,4
375032,611,2024-11-29 20:57:22,5,4
375033,780,2024-11-29 20:59:25,5,4
375034,784,2024-11-29 21:01:11,5,4
375035,634,2024-11-29 21:01:48,5,4
375036,464,2024-11-29 21:02:51,5,4
375037,631,2024-11-29 21:03:16,5,4
375038,605,2024-11-29 21:03:30,5,4
375039,634,2024-11-29 21:05:40,5,4
375040,618,2024-11-30 07:22:35,0,4
375041,611,2024-11-30 07:22:42,0,4
375042,780,2024-11-30 07:22:54,0,4
375043,606,2024-11-30 07:34:59,0,4
375044,599,2024-11-30 07:43:58,0,4
375045,590,2024-11-30 07:46:52,0,4
375046,518,2024-11-30 07:50:20,0,4
375047,610,2024-11-30 07:52:54,0,4
375048,659,2024-11-30 07:54:25,0,4
375049,592,2024-11-30 07:54:39,0,4
375050,621,2024-11-30 07:57:00,0,4
375051,612,2024-11-30 07:57:05,0,4
375052,614,2024-11-30 08:01:12,0,4
375053,612,2024-11-30 08:01:28,0,4
375054,365,2024-11-30 08:04:40,0,4
375055,774,2024-11-29 07:09:36,0,1
375056,632,2024-11-29 07:10:17,0,1
375057,387,2024-11-29 07:10:46,0,1
375058,298,2024-11-29 07:11:05,0,1
375059,630,2024-11-29 07:22:03,0,1
375060,321,2024-11-29 07:25:23,0,1
375061,363,2024-11-29 07:28:28,0,1
375062,439,2024-11-29 07:33:42,0,1
375063,505,2024-11-29 07:36:10,0,1
375064,469,2024-11-29 08:01:21,0,1
375065,569,2024-11-29 08:04:49,0,1
375066,616,2024-11-29 08:58:05,0,1
375067,783,2024-11-29 09:16:03,0,1
375068,783,2024-11-29 09:16:05,0,1
375069,554,2024-11-29 09:28:15,0,1
375070,625,2024-11-29 09:29:09,0,1
375071,506,2024-11-29 10:01:34,0,1
375072,246,2024-11-29 10:03:45,0,1
375073,587,2024-11-29 11:04:32,3,1
375074,636,2024-11-29 11:28:10,0,1
375075,575,2024-11-29 12:12:56,0,1
375076,575,2024-11-29 12:13:25,5,1
375077,554,2024-11-29 12:45:31,3,1
375078,554,2024-11-29 13:40:02,4,1
375079,458,2024-11-29 16:22:15,5,1
375080,458,2024-11-29 16:22:16,5,1
375081,348,2024-11-29 16:34:18,5,1
375082,526,2024-11-29 16:34:27,5,1
375083,635,2024-11-29 16:35:40,5,1
375084,183,2024-11-29 16:46:32,5,1
375085,669,2024-11-29 16:49:09,5,1
375086,647,2024-11-29 16:51:10,5,1
375087,360,2024-11-29 17:00:05,5,1
375088,627,2024-11-29 17:00:10,5,1
375089,626,2024-11-29 17:00:13,5,1
375090,266,2024-11-29 17:02:53,5,1
375091,651,2024-11-29 17:03:01,5,1
375092,404,2024-11-29 17:03:07,5,1
375093,773,2024-11-29 17:03:14,5,1
375094,632,2024-11-29 17:03:19,5,1
375095,581,2024-11-29 17:03:51,5,1
375096,519,2024-11-29 17:04:23,5,1
375097,587,2024-11-29 17:07:59,5,1
375098,330,2024-11-29 17:08:09,5,1
375099,387,2024-11-29 17:08:25,5,1
375100,772,2024-11-29 17:08:43,5,1
375101,549,2024-11-29 17:08:47,5,1
375102,307,2024-11-29 17:10:11,5,1
375103,771,2024-11-29 17:11:08,5,1
375104,335,2024-11-29 17:12:15,5,1
375105,443,2024-11-29 17:14:02,5,1
375106,343,2024-11-29 17:14:45,5,1
375107,332,2024-11-29 17:15:56,5,1
375108,643,2024-11-29 17:19:48,5,1
375109,583,2024-11-29 17:20:58,5,1
375110,206,2024-11-29 17:21:33,5,1
375111,548,2024-11-29 17:21:37,5,1
375112,527,2024-11-29 17:21:41,5,1
375113,770,2024-11-29 17:21:44,5,1
375114,43,2024-11-29 17:22:05,5,1
375115,551,2024-11-29 17:22:08,5,1
375116,358,2024-11-29 17:22:24,5,1
375117,166,2024-11-29 17:22:30,5,1
375118,160,2024-11-29 17:22:34,5,1
375119,444,2024-11-29 17:22:37,5,1
375120,781,2024-11-29 17:22:43,5,1
375121,492,2024-11-29 17:22:52,5,1
375122,389,2024-11-29 17:23:40,5,1
375123,667,2024-11-29 17:23:54,5,1
375124,541,2024-11-29 17:24:07,5,1
375125,523,2024-11-29 17:24:20,5,1
375126,469,2024-11-29 17:25:04,5,1
375127,553,2024-11-29 17:25:21,5,1
375128,320,2024-11-29 17:25:32,5,1
375129,241,2024-11-29 17:27:10,5,1
375130,663,2024-11-29 17:27:40,5,1
375131,786,2024-11-29 17:29:23,5,1
375132,529,2024-11-29 17:29:29,5,1
375133,430,2024-11-29 17:33:03,5,1
375134,44,2024-11-29 17:34:39,5,1
375135,658,2024-11-29 17:36:39,5,1
375136,417,2024-11-29 17:37:43,5,1
375137,653,2024-11-29 17:43:15,5,1
375138,637,2024-11-29 17:44:10,5,1
375139,321,2024-11-29 17:50:54,5,1
375140,345,2024-11-29 18:00:01,5,1
375141,620,2024-11-29 18:00:09,5,1
375142,439,2024-11-29 18:01:52,5,1
375143,616,2024-11-29 18:03:54,5,1
375144,782,2024-11-29 18:20:24,5,1
375145,393,2024-11-29 18:22:38,5,1
375146,649,2024-11-29 18:23:57,5,1
375147,246,2024-11-29 18:25:21,5,1
375148,363,2024-11-29 18:28:12,5,1
375149,550,2024-11-29 18:31:14,5,1
375150,569,2024-11-29 18:34:35,5,1
375151,105,2024-11-29 18:34:57,5,1
375152,668,2024-11-29 18:40:41,5,1
375153,460,2024-11-29 19:17:09,5,1
375154,298,2024-11-29 19:17:14,5,1
375155,660,2024-11-29 19:17:20,5,1
375156,636,2024-11-29 19:22:13,5,1
375157,783,2024-11-29 19:32:11,5,1
375158,625,2024-11-29 19:32:15,5,1
375159,584,2024-11-29 19:48:54,5,1
375160,506,2024-11-29 19:50:52,5,1
375161,554,2024-11-29 19:52:48,5,1
375162,552,2024-11-30 04:46:41,0,1
375163,548,2024-11-30 05:36:55,0,1
375164,458,2024-11-30 05:53:44,0,1
375165,351,2024-11-30 05:54:02,0,1
375166,643,2024-11-30 05:55:13,0,1
375167,343,2024-11-30 05:56:30,0,1
375168,653,2024-11-30 06:04:51,0,1
375169,42,2024-11-30 06:08:56,0,1
375170,549,2024-11-30 06:29:35,0,1
375171,332,2024-11-30 06:29:43,0,1
375172,241,2024-11-30 06:30:21,0,1
375173,669,2024-11-30 06:31:03,0,1
375174,360,2024-11-30 06:36:13,0,1
375175,417,2024-11-30 06:38:28,0,1
375176,166,2024-11-30 06:38:55,0,1
375177,632,2024-11-30 06:42:08,0,1
375178,665,2024-11-30 06:42:30,0,1
375179,320,2024-11-30 06:42:57,0,1
375180,786,2024-11-30 06:43:00,0,1
375181,553,2024-11-30 06:43:08,0,1
375182,43,2024-11-30 06:45:47,0,1
375183,627,2024-11-30 06:45:52,0,1
375184,657,2024-11-30 06:45:57,0,1
375185,105,2024-11-30 06:46:04,0,1
375186,551,2024-11-30 06:46:09,0,1
375187,541,2024-11-30 06:46:20,0,1
375188,662,2024-11-30 06:46:24,0,1
375189,663,2024-11-30 06:46:37,0,1
375190,625,2024-11-30 06:46:42,0,1
375191,666,2024-11-30 06:47:58,0,1
375192,348,2024-11-30 06:48:08,0,1
375193,519,2024-11-30 06:49:11,0,1
375194,668,2024-11-30 06:49:28,0,1
375195,481,2024-11-30 06:49:58,0,1
375196,523,2024-11-30 06:50:49,0,1
375197,637,2024-11-30 06:51:24,0,1
375198,307,2024-11-30 06:51:39,0,1
375199,443,2024-11-30 06:52:12,0,1
375200,564,2024-11-30 06:53:31,0,1
375201,581,2024-11-30 06:54:52,0,1
375202,782,2024-11-30 06:55:00,0,1
375203,770,2024-11-30 06:55:11,0,1
375204,651,2024-11-30 06:56:09,0,1
375205,620,2024-11-30 06:56:27,0,1
375206,574,2024-11-30 06:57:22,0,1
375207,667,2024-11-30 06:57:54,0,1
375208,266,2024-11-30 06:57:58,0,1
375209,358,2024-11-30 06:58:13,0,1
375210,626,2024-11-30 06:58:33,0,1
375211,389,2024-11-30 06:58:40,0,1
375212,393,2024-11-30 06:58:49,0,1
375213,635,2024-11-30 06:58:53,0,1
375214,527,2024-11-30 06:58:58,0,1
375215,575,2024-11-30 06:59:03,0,1
375216,44,2024-11-30 06:59:20,0,1
375217,444,2024-11-30 07:00:03,0,1
375218,773,2024-11-30 07:00:42,0,1
375219,335,2024-11-30 07:01:10,0,1
375220,771,2024-11-30 07:01:16,0,1
375221,460,2024-11-30 07:02:04,0,1
375222,206,2024-11-30 07:02:12,0,1
375223,160,2024-11-30 07:02:18,0,1
375224,183,2024-11-30 07:02:22,0,1
375225,649,2024-11-30 07:02:27,0,1
375226,492,2024-11-30 07:02:33,0,1
375227,404,2024-11-30 07:02:40,0,1
375228,330,2024-11-30 07:03:23,0,1
375229,550,2024-11-30 07:04:25,0,1
375230,774,2024-11-30 07:06:19,0,1
375231,298,2024-11-30 07:07:57,0,1
375232,321,2024-11-30 07:11:12,0,1
375233,529,2024-11-30 07:11:33,0,1
375234,658,2024-11-30 07:12:23,0,1
375235,584,2024-11-30 07:24:53,0,1
375236,439,2024-11-30 07:34:32,0,1
375237,363,2024-11-30 07:36:17,0,1
375238,505,2024-11-30 07:39:45,0,1
375239,781,2024-11-30 08:00:01,0,1
375240,569,2024-11-30 08:00:07,0,1
375241,526,2024-11-30 08:04:22,0,1
